"{'548430', '322330'} | support: 55"
"{'440', '322330'} | support: 55"
"{'739630', '322330'} | support: 58"
"{'381210', '322330'} | support: 74"
"{'570', '322330'} | support: 74"
"{'322330', '730'} | support: 128"
"{'230410', '291550'} | support: 32"
"{'4000', '291550'} | support: 34"
"{'359550', '291550'} | support: 35"
"{'291550', '1063730'} | support: 38"
"{'105600', '291550'} | support: 38"
"{'945360', '291550'} | support: 38"
"{'440', '291550'} | support: 40"
"{'960090', '291550'} | support: 44"
"{'381210', '291550'} | support: 58"
"{'739630', '291550'} | support: 59"
"{'431960', '291550'} | support: 62"
"{'570', '291550'} | support: 66"
"{'291550', '1172470'} | support: 71"
"{'252950', '291550'} | support: 101"
"{'291550', '730'} | support: 193"
"{'594650', '629520'} | support: 32"
"{'629520', '236390'} | support: 34"
"{'1085660', '629520'} | support: 35"
"{'221100', '629520'} | support: 37"
"{'252490', '629520'} | support: 44"
"{'359550', '629520'} | support: 48"
"{'440', '629520'} | support: 49"
"{'252950', '629520'} | support: 53"
"{'218', '629520'} | support: 59"
"{'629520', '1063730'} | support: 64"
"{'629520', '1172470'} | support: 66"
"{'629520', '271590'} | support: 67"
"{'548430', '629520'} | support: 67"
"{'381210', '629520'} | support: 68"
"{'4000', '629520'} | support: 72"
"{'438100', '629520'} | support: 84"
"{'438100', '250820', '629520'} | support: 74"
"{'431960', '629520'} | support: 86"
"{'739630', '629520'} | support: 118"
"{'250820', '629520'} | support: 119"
"{'570', '629520'} | support: 120"
"{'570', '629520', '730'} | support: 37"
"{'629520', '730'} | support: 182"
"{'1085660', '581320'} | support: 33"
"{'4000', '581320'} | support: 33"
"{'252950', '581320'} | support: 34"
"{'570', '581320'} | support: 35"
"{'394360', '581320'} | support: 36"
"{'550', '581320'} | support: 37"
"{'581320', '271590'} | support: 40"
"{'1063730', '581320'} | support: 42"
